HeadlineText;Author;NamedEntitiesClaim;Keywords;Source;RatingName
126;52;7;114;2;1
171;34;211;36;3;1
20;11;176;134;2;0
161;34;177;49;3;0
96;84;22;174;2;0
25;34;202;18;3;1
61;40;79;60;2;0
139;34;158;27;3;0
225;33;208;155;2;1
84;34;25;156;0;0
194;56;241;122;2;0
202;75;48;112;2;1
130;9;46;109;2;1
121;79;220;109;2;1
148;34;232;50;3;0
151;34;214;187;3;1
126;52;7;114;2;1
1;34;50;9;3;0
50;64;14;123;2;0
15;39;212;116;2;1
240;47;163;125;2;1
95;35;81;92;2;0
106;34;216;165;3;0
177;11;117;129;2;0
233;34;61;13;3;0
69;34;132;58;3;0
126;52;7;114;2;1
121;79;220;109;2;1
143;21;233;119;2;0
222;34;194;135;3;0
86;34;59;21;3;1
80;67;141;180;2;1
172;34;210;20;3;0
219;34;237;182;0;1
164;34;190;158;3;1
51;34;124;22;3;1
86;34;59;21;3;1
19;77;146;169;2;1
181;68;131;100;2;1
68;34;139;54;3;0
183;34;213;4;3;0
86;34;59;21;3;1
163;34;90;105;3;0
82;18;138;175;2;1
74;34;68;14;3;1
54;34;165;185;3;1
74;34;68;14;3;1
45;60;199;96;2;1
171;34;211;36;3;1
111;50;235;162;2;0
160;34;58;45;3;0
55;34;55;76;3;0
44;9;89;183;2;1
92;36;57;113;2;0
51;34;124;22;3;1
78;41;54;183;2;0
105;34;161;140;3;0
19;77;146;169;2;1
125;34;63;158;3;0
219;34;237;182;0;1
113;34;115;184;3;0
70;32;184;62;2;1
199;34;30;24;3;1
219;34;237;182;0;1
34;34;11;18;3;0
215;78;82;117;2;1
25;34;202;18;3;1
191;8;19;80;2;1
140;34;34;41;3;0
181;68;131;100;2;1
91;54;136;94;2;1
165;34;128;57;3;1
193;51;103;63;2;0
242;34;155;40;3;1
13;34;70;15;3;0
49;26;227;75;2;1
240;47;163;125;2;1
117;34;33;16;3;0
242;34;155;40;3;1
154;28;113;152;2;1
52;30;164;141;2;0
131;9;47;98;2;1
118;34;150;190;3;0
82;18;138;175;2;1
218;34;167;6;3;0
70;32;184;62;2;1
195;34;44;170;3;0
74;34;68;14;3;1
129;19;94;12;2;0
232;34;67;0;3;1
67;0;121;133;2;0
173;34;29;37;3;1
35;34;143;70;3;0
182;69;84;91;1;1
51;34;124;22;3;1
93;34;5;149;0;0
181;68;131;100;2;1
3;1;17;82;2;0
171;34;211;36;3;1
81;43;224;136;2;0
27;17;18;153;2;1
87;34;205;33;3;0
237;34;15;161;3;0
42;22;26;83;2;0
217;34;64;28;3;0
141;11;93;126;2;0
240;47;163;125;2;1
220;34;215;130;3;0
228;83;152;136;2;1
202;75;48;112;2;1
168;34;225;34;3;0
202;75;48;112;2;1
240;47;163;125;2;1
23;61;2;84;2;1
134;34;56;69;3;0
228;83;152;136;2;1
19;77;146;169;2;1
2;34;191;158;3;0
30;37;87;93;2;1
57;34;8;42;3;0
216;34;166;46;3;0
29;34;101;158;3;0
173;34;29;37;3;1
116;53;52;152;2;1
133;34;201;158;4;1
211;34;203;34;3;0
49;26;227;75;2;1
65;34;196;7;3;0
196;34;80;25;3;1
132;34;43;48;3;0
107;34;181;17;3;0
238;34;239;158;4;0
115;84;116;129;2;0
224;6;28;115;2;0
51;34;124;22;3;1
101;34;120;61;3;0
243;34;148;189;3;0
155;34;174;168;3;0
17;84;83;183;2;0
190;34;78;44;3;0
174;34;217;143;3;0
53;34;159;104;3;0
239;25;73;181;2;1
210;34;123;158;4;1
8;4;36;2;2;0
240;47;163;125;2;1
184;71;137;62;2;1
145;34;129;163;3;0
40;16;242;179;2;1
232;34;67;0;3;1
135;42;3;65;2;0
12;34;85;158;3;1
58;34;218;151;3;0
91;54;136;94;2;1
230;34;193;31;3;0
97;34;229;132;3;0
9;7;160;118;2;0
121;79;220;109;2;1
83;34;134;108;3;0
12;34;85;158;3;1
94;38;140;90;1;0
73;34;35;144;3;0
182;69;84;91;1;1
44;9;89;183;2;1
12;34;85;158;3;1
137;58;98;153;2;0
114;34;197;188;3;0
219;34;237;182;0;1
49;26;227;75;2;1
12;34;85;158;3;1
191;8;19;80;2;1
240;47;163;125;2;1
100;85;27;73;2;1
175;81;12;153;2;0
151;34;214;187;3;1
186;34;106;67;3;0
37;82;126;164;2;0
169;34;186;147;3;0
212;34;162;34;3;0
171;34;211;36;3;1
80;67;141;180;2;1
138;46;127;119;2;0
149;34;180;52;3;0
191;8;19;80;2;1
176;34;9;158;3;0
80;67;141;180;2;1
215;78;82;117;2;1
231;34;71;18;3;0
27;17;18;153;2;1
173;34;29;37;3;1
